key,value,date
Lahore Blast,0.001,07/12/16
Brexit,0.883854071549,07/13/16
Irish General Election,0.001,07/13/16
Lahore Blast,0.001,07/13/16
Brexit,0.70824081446,07/14/16
Irish General Election,0.001,07/14/16
Lahore Blast,0.001,07/14/16
Brexit,0.993153851196,07/15/16
Irish General Election,0.001,07/15/16
Lahore Blast,0.001,07/15/16
Brexit,0.001,07/16/16
Irish General Election,0.001,07/16/16
Lahore Blast,0.001,07/16/16
Brexit,0.001,07/17/16
Irish General Election,0.001,07/17/16
Lahore Blast,0.001,07/17/16
Brexit,0.001,07/18/16
Irish General Election,0.001,07/18/16
Lahore Blast,0.001,07/18/16
Brexit,0.001,07/19/16
Irish General Election,0.001,07/19/16
Lahore Blast,0.001,07/19/16
Brexit,0.001,07/20/16
Irish General Election,0.001,07/20/16
Lahore Blast,0.001,07/20/16
Brexit,0.001,07/21/16
Irish General Election,0.001,07/21/16
Lahore Blast,0.001,07/21/16
Brexit,0.001,07/22/16
Irish General Election,0.001,07/22/16
Lahore Blast,0.001,07/22/16
Brexit,0.001,07/23/16
Irish General Election,0.001,07/23/16
Lahore Blast,0.001,07/23/16
Brexit,0.001,07/24/16
Irish General Election,0.001,07/24/16
Lahore Blast,0.001,07/24/16
Brexit,0.001,07/25/16
Irish General Election,0.001,07/25/16
Lahore Blast,0.001,07/25/16
Brexit,0.001,07/26/16
Irish General Election,0.001,07/26/16
Lahore Blast,0.001,07/26/16
Brexit,0.001,07/27/16
Irish General Election,0.001,07/27/16
Lahore Blast,0.001,07/27/16
Brexit,0.001,07/28/16
Irish General Election,0.001,07/28/16
Lahore Blast,0.001,07/28/16
Brexit,0.001,07/29/16
Irish General Election,0.001,07/29/16
Lahore Blast,0.001,07/29/16
Brexit,0.001,07/30/16
Irish General Election,0.001,07/30/16
Lahore Blast,0.001,07/30/16
Brexit,0.001,07/31/16
Irish General Election,0.001,07/31/16
Lahore Blast,0.001,07/31/16
Brexit,0.001,08/01/16
Irish General Election,0.001,08/01/16
Lahore Blast,0.001,08/01/16
Brexit,0.001,08/02/16
Irish General Election,0.001,08/02/16
Lahore Blast,0.001,08/02/16
Brexit,0.001,08/03/16
Irish General Election,0.001,08/03/16
Lahore Blast,0.001,08/03/16
Brexit,0.001,08/04/16
Irish General Election,0.001,08/04/16
Lahore Blast,0.001,08/04/16
Brexit,0.001,08/05/16
Irish General Election,0.001,08/05/16
Lahore Blast,0.001,08/05/16
Brexit,0.001,08/06/16
Irish General Election,0.001,08/06/16
Lahore Blast,0.001,08/06/16
Brexit,0.001,08/07/16
Irish General Election,0.001,08/07/16
Lahore Blast,0.001,08/07/16
Brexit,0.001,08/08/16
Irish General Election,0.001,08/08/16
Lahore Blast,0.001,08/08/16
Brexit,0.001,08/09/16
Irish General Election,0.001,08/09/16
Lahore Blast,0.001,08/09/16
Brexit,0.001,08/10/16
Irish General Election,0.001,08/10/16
Lahore Blast,0.001,08/10/16
Brexit,0.001,08/11/16
Irish General Election,0.001,08/11/16
Lahore Blast,0.001,08/11/16
Brexit,0.001,08/12/16
Irish General Election,0.001,08/12/16
Lahore Blast,0.001,08/12/16
Brexit,0.001,08/13/16
Irish General Election,0.001,08/13/16
Lahore Blast,0.001,08/13/16
Brexit,0.001,08/14/16
Irish General Election,0.001,08/14/16
Lahore Blast,0.001,08/14/16
Brexit,0.001,08/15/16
Irish General Election,0.001,08/15/16
Lahore Blast,0.001,08/15/16
Brexit,0.001,08/16/16
Irish General Election,0.001,08/16/16
Lahore Blast,0.001,08/16/16
Brexit,0.001,08/17/16
Irish General Election,0.001,08/17/16
Lahore Blast,0.001,08/17/16
Brexit,0.001,08/18/16
Irish General Election,0.001,08/18/16
Lahore Blast,0.001,08/18/16
Brexit,0.001,08/19/16
Irish General Election,0.001,08/19/16
Lahore Blast,0.001,08/19/16
Brexit,0.001,08/20/16
Irish General Election,0.001,08/20/16
Lahore Blast,0.001,08/20/16
Brexit,0.001,08/21/16
Irish General Election,0.001,08/21/16
Lahore Blast,0.001,08/21/16
Brexit,0.001,08/22/16
Irish General Election,0.001,08/22/16
Lahore Blast,0.001,08/22/16
Brexit,0.001,08/23/16
Irish General Election,0.001,08/23/16
Lahore Blast,0.001,08/23/16
Brexit,0.001,08/24/16
Irish General Election,0.001,08/24/16
Lahore Blast,0.001,08/24/16
Brexit,0.001,08/25/16
Irish General Election,0.001,08/25/16
Lahore Blast,0.001,08/25/16
Brexit,0.001,08/26/16
Irish General Election,0.001,08/26/16
Lahore Blast,0.001,08/26/16
Brexit,0.001,08/27/16
Irish General Election,0.001,08/27/16
Lahore Blast,0.001,08/27/16
Brexit,0.001,08/28/16
Irish General Election,0.001,08/28/16
Lahore Blast,0.001,08/28/16
Brexit,0.001,08/29/16
Irish General Election,0.001,08/29/16
Lahore Blast,0.001,08/29/16
Brexit,0.001,08/30/16
Irish General Election,0.001,08/30/16
Lahore Blast,0.001,08/30/16
Brexit,0.001,08/31/16
Irish General Election,0.001,08/31/16
Lahore Blast,0.001,08/31/16
Brexit,0.001,09/01/16
Irish General Election,0.001,09/01/16
Lahore Blast,0.001,09/01/16
Brexit,0.001,09/02/16
Irish General Election,0.001,09/02/16
Lahore Blast,0.001,09/02/16
Brexit,0.001,09/03/16
Irish General Election,0.001,09/03/16
Lahore Blast,0.001,09/03/16
Brexit,0.001,09/04/16
Irish General Election,0.001,09/04/16
Lahore Blast,0.001,09/04/16
Brexit,0.001,09/05/16
Irish General Election,0.001,09/05/16
Lahore Blast,0.001,09/05/16
Brexit,0.001,09/06/16
Irish General Election,0.001,09/06/16
Lahore Blast,0.001,09/06/16
Brexit,0.001,09/07/16
Irish General Election,0.001,09/07/16
Lahore Blast,0.001,09/07/16
Brexit,0.001,09/08/16
Irish General Election,0.001,09/08/16
Lahore Blast,0.001,09/08/16
Brexit,0.001,09/09/16
Irish General Election,0.001,09/09/16
Lahore Blast,0.001,09/09/16
Brexit,0.001,09/10/16
Irish General Election,0.001,09/10/16
Lahore Blast,0.001,09/10/16
Brexit,0.001,09/11/16
Irish General Election,0.001,09/11/16
Lahore Blast,0.001,09/11/16
Brexit,0.001,09/12/16
Irish General Election,0.001,09/12/16
Lahore Blast,0.001,09/12/16
Brexit,0.001,09/13/16
Irish General Election,0.001,09/13/16
Lahore Blast,0.001,09/13/16
Brexit,0.001,09/14/16
Irish General Election,0.001,09/14/16
Lahore Blast,0.001,09/14/16
Brexit,0.001,09/15/16
Irish General Election,0.001,09/15/16
